Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Clostridioides difficile	DSM 16795	NCBI	445973.0	C. difficile	GCA_000154445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/445/GCA_000154445.1_ASM15444v1	GCF_000154445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/445/GCF_000154445.1_ASM15444v1	445973	Intestinibacter bartlettii DSM 16795	strain=DSM 16795	latest	Scaffold	2007/11/01	3	2737	Pathogenic
Erysipelatoclostridium ramosum	DSM 1402	Patric (diseases)	445974.0	E. ramosum	GCA_000154485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/485/GCA_000154485.1_ASM15448v1	GCF_000154485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/485/GCF_000154485.1_ASM15448v1	445974	Erysipelatoclostridium ramosum DSM 1402	strain=DSM 1402	latest	Scaffold	2007/11/14	2	3060	Pathogenic
Bacteroides stercoris ATCC 43183	ATCC 43183	ENA	449673.0	Bacteroides stercoris ATCC 43183	GCA_000154525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/525/GCA_000154525.1_ASM15452v1	GCF_000154525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/525/GCF_000154525.1_ASM15452v1	449673	Bacteroides stercoris ATCC 43183	strain=ATCC 43183	latest	Scaffold	2007/11/14	1	3418	Pathogenic
Providencia stuartii ATCC 25827//Providencia alcalifaciens	ATCC 25827	ENA, NCBI	471874.0	Providencia stuartii ATCC 25827//Providencia alcalifaciens	GCA_000154865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/865/GCA_000154865.1_ASM15486v1	GCF_000154865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/865/GCF_000154865.1_ASM15486v1	471874	Providencia stuartii ATCC 25827	strain=ATCC 25827	latest	Scaffold	2008/04/10	5	4311	Pathogenic
Clostridium botulinum//Clostridium sporogenes ATCC 15579	ATCC 15579	ENA, NCBI	471871.0	Clostridium botulinum//Clostridium sporogenes ATCC 15579	GCA_000155085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/085/GCA_000155085.1_ASM15508v1	GCF_000155085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/085/GCF_000155085.1_ASM15508v1	471871	Clostridium sporogenes ATCC 15579	strain=ATCC 15579	latest	Scaffold	2008/04/21	2	3701	Pathogenic
Helicobacter canadensis	MIT 98-5491	Patric (diseases)	537970.0	H. canadensis	GCA_000155455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/455/GCA_000155455.1_ASM15545v1	GCF_000155455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/455/GCF_000155455.1_ASM15545v1	537970	Helicobacter canadensis MIT 98-5491	strain=MIT 98-5491	latest	Scaffold	2008/08/28	1	1632	Pathogenic
Citrobacter freundii//Citrobacter youngae ATCC 29220	ATCC 29220	ENA, NCBI	500640.0	Citrobacter freundii//Citrobacter youngae ATCC 29220	GCA_000155975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/975/GCA_000155975.1_ASM15597v1	GCF_000155975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/975/GCF_000155975.1_ASM15597v1	500640	Citrobacter youngae ATCC 29220	strain=ATCC 29220	latest	Scaffold	2010/01/08	4	4731	Pathogenic
Enterobacter cancerogenus ATCC 35316//Enterobacter cancerogenus	ATCC 35316	ENA, NCBI	500639.0	Enterobacter cancerogenus ATCC 35316//Enterobacter cancerogenus	GCA_000155995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/995/GCA_000155995.1_ASM15599v1	GCF_000155995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/995/GCF_000155995.1_ASM15599v1	500639	Enterobacter cancerogenus ATCC 35316	strain=ATCC 35316	latest	Scaffold	2009/10/08	1	2202	Pathogenic
Clostridioides difficile	DSM 13275	NCBI	500633.0	C. difficile	GCA_000156055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/055/GCA_000156055.1_ASM15605v1	GCF_000156055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/055/GCF_000156055.1_ASM15605v1	500633	[Clostridium] hiranonis DSM 13275	strain=DSM 13275	latest	Scaffold	2008/10/14	1	2251	Pathogenic
Bacteroides finegoldii DSM 17565	DSM 17565	ENA	483215.0	Bacteroides finegoldii DSM 17565	GCA_000156195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/195/GCA_000156195.1_ASM15619v1	GCF_000156195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/195/GCF_000156195.1_ASM15619v1	483215	Bacteroides finegoldii DSM 17565	strain=DSM 17565	latest	Scaffold	2009/06/17	2	4190	Pathogenic
Providencia rustigianii DSM 4541	DSM 4541	ENA	500637.0	Providencia rustigianii DSM 4541	GCA_000156395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/395/GCA_000156395.1_ASM15639v1	GCF_000156395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/395/GCF_000156395.1_ASM15639v1	500637	Providencia rustigianii DSM 4541	strain=DSM 4541	latest	Scaffold	2009/10/02	1	3740	Pathogenic
Corynebacterium glucuronolyticum ATCC 51867	ATCC 51867	ENA	548477.0	Corynebacterium glucuronolyticum ATCC 51867	GCA_000156595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/595/GCA_000156595.1_ASM15659v1	GCF_000156595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/595/GCF_000156595.1_ASM15659v1	548477	Corynebacterium glucuronolyticum ATCC 51867	strain=ATCC 51867	latest	Scaffold	2009/05/05	1	2554	Pathogenic
Corynebacterium pseudogenitalium ATCC 33035	ATCC 33035	ENA	525264.0	Corynebacterium pseudogenitalium ATCC 33035	GCA_000156615.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/615/GCA_000156615.2_ASM15661v2	GCF_000156615.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/615/GCF_000156615.2_ASM15661v2	525264	Corynebacterium pseudogenitalium ATCC 33035	strain=ATCC 33035	latest	Scaffold	2010/11/09	4	2452	Pathogenic
Parabacteroides sp. 2_1_7	2_1_7	Patric (diseases)	457388.0	Parabacteroides sp. 2_1_7	GCA_000157035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/035/GCA_000157035.2_Bacteroides_sp_2_1_7_V2	GCF_000157035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/035/GCF_000157035.2_Bacteroides_sp_2_1_7_V2	457388	Parabacteroides sp. 2_1_7	strain=2_1_7	latest	Scaffold	2015/07/16	2	4413	Pathogenic
Bacteroides sp. 2_2_4	2_2_4	ENA	469590.0	Bacteroides sp. 2_2_4	GCA_000157055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/055/GCA_000157055.1_ASM15705v1	GCF_000157055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/055/GCF_000157055.1_ASM15705v1	469590	Bacteroides sp. 2_2_4	strain=2_2_4	latest	Scaffold	2009/02/05	3	1793	Pathogenic
Bacteroides sp. D1	D1	ENA	556258.0	Bacteroides sp. D1	GCA_000157095.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/095/GCA_000157095.2_Bacteroides_sp_D1_V2	GCF_000157095.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/095/GCF_000157095.2_Bacteroides_sp_D1_V2	556258	Bacteroides sp. D1	strain=D1	latest	Scaffold	2011/09/06	3	4797	Pathogenic
Enterococcus faecalis	ATCC 4200	Patric (diseases)	565642.0	E. faecalis	GCA_000157195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/195/GCA_000157195.1_ASM15719v1	GCF_000157195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/195/GCF_000157195.1_ASM15719v1	565642	Enterococcus faecalis ATCC 4200	strain=ATCC 4200	latest	Scaffold	2009/06/11	4	2907	Pathogenic
Bacteroides cellulosilyticus DSM 14838	DSM 14838	ENA	537012.0	Bacteroides cellulosilyticus DSM 14838	GCA_000158035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/035/GCA_000158035.1_ASM15803v1	GCF_000158035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/035/GCF_000158035.1_ASM15803v1	537012	Bacteroides cellulosilyticus DSM 14838	strain=DSM 14838	latest	Scaffold	2009/02/09	3	5301	Pathogenic
Providencia rettgeri DSM 1131//Providencia alcalifaciens	DSM 1131	ENA, NCBI	521000.0	Providencia rettgeri DSM 1131//Providencia alcalifaciens	GCA_000158055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/055/GCA_000158055.1_ASM15805v1	GCF_000158055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/055/GCF_000158055.1_ASM15805v1	521000	Providencia rettgeri DSM 1131	strain=DSM 1131	latest	Scaffold	2009/11/13	1	4422	Pathogenic
Fusobacterium periodonticum 2_1_31	2_1_31	ENA, ENA	469599.0	Fusobacterium periodonticum 2_1_31	GCA_000158215.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/215/GCA_000158215.3_Fuso_sp_2_1_31_V3	GCF_000158215.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/215/GCF_000158215.3_Fuso_sp_2_1_31_V3	469599	Fusobacterium periodonticum 2_1_31	strain=2_1_31	latest	Scaffold	2014/09/25	4	2386	Pathogenic
Fusobacterium gonidiaformans 3-1-5R	3_1_5R	ENA	469605.0	Fusobacterium gonidiaformans 3-1-5R	GCA_000158235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/235/GCA_000158235.1_ASM15823v1	GCF_000158235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/235/GCF_000158235.1_ASM15823v1	469605	Fusobacterium gonidiaformans 3-1-5R	strain=3_1_5R	latest	Scaffold	2009/03/04	3	1946	Pathogenic
Fusobacterium vincentii 4_1_13//Fusobacterium nucleatum subsp. vincentii 4_1_13;Fusobacterium vincentii 4_1_13	4_1_13	ENA, ENA	469606.0	Fusobacterium vincentii 4_1_13//Fusobacterium nucleatum subsp. vincentii 4_1_13;Fusobacterium vincentii 4_1_13	GCA_000158255.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/255/GCA_000158255.2_Fuso_sp_4_1_13_V2	GCF_000158255.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/255/GCF_000158255.2_Fuso_sp_4_1_13_V2	469606	Fusobacterium nucleatum subsp. vincentii 4_1_13	strain=4_1_13	latest	Scaffold	2015/07/15	3	2169	Pathogenic
Fusobacterium nucleatum subsp. animalis 7_1;Fusobacterium animalis 7_1//Fusobacterium animalis 7_1	7_1	ENA, ENA	457405.0	Fusobacterium nucleatum subsp. animalis 7_1;Fusobacterium animalis 7_1//Fusobacterium animalis 7_1	GCA_000158275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/275/GCA_000158275.2_ASM15827v2	GCF_000158275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/275/GCF_000158275.2_ASM15827v2	457405	Fusobacterium nucleatum subsp. animalis 7_1	strain=7_1	latest	Complete Genome	2014/02/03	3	2434	Pathogenic
Citrobacter portucalensis	30_2	ENA	1639133.0	C. portucalensis	GCA_000158355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/355/GCA_000158355.2_Citrobacter_sp_30_2_V2	GCF_000158355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/355/GCF_000158355.2_Citrobacter_sp_30_2_V2	1639133	Citrobacter portucalensis	strain=30_2	latest	Scaffold	2013/09/30	3	4690	Pathogenic
Clostridium sp. 7_2_43FAA	7_2_43FAA	ENA	457396.0	Clostridium sp. 7_2_43FAA	GCA_000158375.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/375/GCA_000158375.2_Clostridium_sp_7_2_43FAA_V2	GCF_000158375.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/375/GCF_000158375.2_Clostridium_sp_7_2_43FAA_V2	457396	Clostridium sp. 7_2_43FAA	strain=7_2_43FAA	latest	Scaffold	2012/09/18	4	3518	Pathogenic
Eikenella corrodens ATCC 23834	ATCC 23834	ENA	546274.0	Eikenella corrodens ATCC 23834	GCA_000158615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/615/GCA_000158615.1_ASM15861v1	GCF_000158615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/615/GCF_000158615.1_ASM15861v1	546274	Eikenella corrodens ATCC 23834	strain=ATCC 23834	latest	Scaffold	2009/02/05	4	2065	Pathogenic
Corynebacterium matruchotii ATCC 33806	ATCC 33806	ENA	566549.0	Corynebacterium matruchotii ATCC 33806	GCA_000158635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/635/GCA_000158635.1_ASM15863v1	GCF_000158635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/635/GCF_000158635.1_ASM15863v1	566549	Corynebacterium matruchotii ATCC 33806	strain=ATCC 33806	latest	Scaffold	2009/02/05	1	2693	Pathogenic
Actinomyces urogenitalis DSM 15434	DSM 15434	ENA	525246.0	Actinomyces urogenitalis DSM 15434	GCA_000159035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/035/GCA_000159035.1_ASM15903v1	GCF_000159035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/035/GCF_000159035.1_ASM15903v1	525246	Actinomyces urogenitalis DSM 15434	strain=DSM 15434	latest	Scaffold	2009/01/27	1	2302	Pathogenic
Clostridium sp. M62/1	M62/1	ENA	411486.0	Clostridium sp. M62/1	GCA_000159055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/055/GCA_000159055.1_ASM15905v1	GCF_000159055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/055/GCF_000159055.1_ASM15905v1	411486	Clostridium sp. M62/1	strain=M62/1	latest	Scaffold	2010/01/08	1	3518	Pathogenic
Bacteroides sp. D2	D2	ENA	556259.0	Bacteroides sp. D2	GCA_000159075.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/075/GCA_000159075.2_Bact_sp_D2_V2	GCF_000159075.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/075/GCF_000159075.2_Bact_sp_D2_V2	556259	Bacteroides sp. D2	strain=D2	latest	Scaffold	2012/04/11	3	5324	Pathogenic
Corynebacterium striatum//Corynebacterium striatum ATCC 6940	ATCC 6940	ENA, NCBI	525268.0	Corynebacterium striatum//Corynebacterium striatum ATCC 6940	GCA_000159135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/135/GCA_000159135.1_ASM15913v1	GCF_000159135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/135/GCF_000159135.1_ASM15913v1	525268	Corynebacterium striatum ATCC 6940	strain=ATCC 6940	latest	Scaffold	2009/05/05	3	2637	Pathogenic
Enterococcus faecalis TX0104//Enterococcus faecalis//Enterococcus faecalis	TX0104	ENA, NCBI, Patric (diseases)	491074.0	Enterococcus faecalis TX0104//Enterococcus faecalis//Enterococcus faecalis	GCA_000159255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/255/GCA_000159255.1_ASM15925v1	GCF_000159255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/255/GCF_000159255.1_ASM15925v1	491074	Enterococcus faecalis TX0104	strain=TX0104	latest	Scaffold	2009/05/15	4	3105	Pathogenic
Limosilactobacillus vaginalis	ATCC 49540	Patric (diseases)	1423814.0	L. vaginalis	GCA_000159435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/435/GCA_000159435.1_ASM15943v1	GCF_000159435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/435/GCF_000159435.1_ASM15943v1	1423814	Limosilactobacillus vaginalis DSM 5837 = ATCC 49540	strain=ATCC 49540	latest	Scaffold	2009/07/07	3	1866	Pathogenic
Corynebacterium glucuronolyticum ATCC 51866	ATCC 51866	ENA	548478.0	Corynebacterium glucuronolyticum ATCC 51866	GCA_000159595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/595/GCA_000159595.1_ASM15959v1	GCF_000159595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/595/GCF_000159595.1_ASM15959v1	548478	Corynebacterium glucuronolyticum ATCC 51866	strain=ATCC 51866	latest	Scaffold	2009/05/05	1	2649	Pathogenic
Corynebacterium lipophiloflavum DSM 44291	DSM 44291	ENA	525263.0	Corynebacterium lipophiloflavum DSM 44291	GCA_000159635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/635/GCA_000159635.1_ASM15963v1	GCF_000159635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/635/GCF_000159635.1_ASM15963v1	525263	Corynebacterium lipophiloflavum DSM 44291	strain=DSM 44291	latest	Scaffold	2009/05/05	5	2350	Pathogenic
Enterococcus faecium//Enterococcus faecium TX1330	TX1330	ENA, NCBI	525279.0	Enterococcus faecium//Enterococcus faecium TX1330	GCA_000159675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/675/GCA_000159675.1_ASM15967v1	GCF_000159675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/675/GCF_000159675.1_ASM15967v1	525279	Enterococcus faecium TX1330	strain=TX1330	latest	Scaffold	2009/05/15	1	2664	Pathogenic
Bacteroides thetaiotaomicron	1_1_6	ENA	818.0	B. thetaiotaomicron	GCA_000159875.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/875/GCA_000159875.2_Bact_sp_1_1_6_V2	GCF_000159875.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/875/GCF_000159875.2_Bact_sp_1_1_6_V2	818	Bacteroides thetaiotaomicron	strain=1_1_6	latest	Scaffold	2012/04/11	1	5520	Pathogenic
Paenibacillus sp. oral taxon 786	D14	Patric (diseases)	621372.0	Paenibacillus sp. oral taxon 786	GCA_000159955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/955/GCA_000159955.1_ASM15995v1	GCF_000159955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/955/GCF_000159955.1_ASM15995v1	621372	Paenibacillus sp. oral taxon 786 str. D14	strain=D14	latest	Scaffold	2009/07/08	4	4630	Pathogenic
Fusobacterium periodonticum ATCC 33693	ATCC 33693	ENA	546275.0	Fusobacterium periodonticum ATCC 33693	GCA_000160475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/475/GCA_000160475.1_ASM16047v1	GCF_000160475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/475/GCF_000160475.1_ASM16047v1	546275	Fusobacterium periodonticum ATCC 33693	strain=ATCC 33693	latest	Scaffold	2009/04/29	4	1151	Pathogenic
Cardiobacterium hominis ATCC 15826	ATCC 15826	ENA	638300.0	Cardiobacterium hominis ATCC 15826	GCA_000160655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/655/GCA_000160655.1_ASM16065v1	GCF_000160655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/655/GCF_000160655.1_ASM16065v1	638300	Cardiobacterium hominis ATCC 15826	strain=ATCC 15826	latest	Scaffold	2009/07/08	3	2431	Pathogenic
Proteus mirabilis ATCC 29906//Providencia alcalifaciens	ATCC 29906	ENA, NCBI	525369.0	Proteus mirabilis ATCC 29906//Providencia alcalifaciens	GCA_000160755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/755/GCA_000160755.1_ASM16075v1	GCF_000160755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/755/GCF_000160755.1_ASM16075v1	525369	Proteus mirabilis ATCC 29906	strain=ATCC 29906	latest	Scaffold	2009/05/15	5	3666	Pathogenic
Corynebacterium efficiens YS-314	YS-314	ENA	196164.0	Corynebacterium efficiens YS-314	GCA_000160795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/795/GCA_000160795.1_ASM16079v1	GCF_000160795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/795/GCF_000160795.1_ASM16079v1	196164	Corynebacterium efficiens YS-314	strain=YS-314	latest	Scaffold	2009/09/22	3	2855	Pathogenic
Erysipelothrix rhusiopathiae ATCC 19414	ATCC 19414	ENA	525280.0	Erysipelothrix rhusiopathiae ATCC 19414	GCA_000160815.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/815/GCA_000160815.2_ASM16081v2	GCF_000160815.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/815/GCF_000160815.2_ASM16081v2	525280	Erysipelothrix rhusiopathiae ATCC 19414	strain=ATCC 19414	latest	Contig	2011/02/07	2	1639	Pathogenic
Streptococcus sp. 2_1_36FAA	2_1_36FAA	ENA	469609.0	Streptococcus sp. 2_1_36FAA	GCA_000161955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/955/GCA_000161955.2_Strept_sp_2_1_36FAA_V2	GCF_000161955.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/955/GCF_000161955.2_Strept_sp_2_1_36FAA_V2	469609	Streptococcus sp. 2_1_36FAA	strain=2_1_36FAA	latest	Scaffold	2013/09/30	1	2157	Pathogenic
Acinetobacter baumannii	RUH2202	NCBI	575585.0	A. baumannii	GCA_000162035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/035/GCA_000162035.1_ASM16203v1	GCF_000162035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/035/GCF_000162035.1_ASM16203v1	575585	Acinetobacter calcoaceticus RUH2202	strain=RUH2202	latest	Scaffold	2009/10/30	3	3610	Pathogenic
Bacteroides fragilis	2_1_16	ENA	817.0	B. fragilis	GCA_000162135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/135/GCA_000162135.1_ASM16213v1	GCF_000162135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/135/GCF_000162135.1_ASM16213v1	817	Bacteroides fragilis	strain=2_1_16	latest	Scaffold	2009/11/06	2	4431	Pathogenic
Bacteroides sp. D20	D20	ENA	585543.0	Bacteroides sp. D20	GCA_000162215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/215/GCA_000162215.1_ASM16221v1	GCF_000162215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/215/GCF_000162215.1_ASM16221v1	585543	Bacteroides sp. D20	strain=D20	latest	Scaffold	2009/12/04	3	3678	Pathogenic
Fusobacterium vincentii 3_1_36A2	3_1_36A2	ENA	469604.0	Fusobacterium vincentii 3_1_36A2	GCA_000162235.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/235/GCA_000162235.2_ASM16223v2	GCF_000162235.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/235/GCF_000162235.2_ASM16223v2	469604	Fusobacterium nucleatum subsp. vincentii 3_1_36A2	strain=3_1_36A2	latest	Complete Genome	2013/08/27	2	2161	Pathogenic
Parabacteroides sp. D13	D13	Patric (diseases)	563193.0	Parabacteroides sp. D13	GCA_000162275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/275/GCA_000162275.1_ASM16227v1	GCF_000162275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/275/GCF_000162275.1_ASM16227v1	563193	Parabacteroides sp. D13	strain=D13	latest	Scaffold	2009/08/27	2	4612	Pathogenic
Fusobacterium animalis 3_1_33	3_1_33	ENA	469603.0	Fusobacterium animalis 3_1_33	GCA_000162355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/355/GCA_000162355.2_Fuso_sp_3_1_33_V2	GCF_000162355.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/355/GCF_000162355.2_Fuso_sp_3_1_33_V2	469603	Fusobacterium nucleatum subsp. animalis 3_1_33	strain=3_1_33	latest	Scaffold	2013/09/30	3	2109	Pathogenic
Streptococcus sp. M143	M143	ENA	563037.0	Streptococcus sp. M143	GCA_000162495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/495/GCA_000162495.1_ASM16249v1	GCF_000162495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/495/GCF_000162495.1_ASM16249v1	563037	Streptococcus sp. M143	strain=M143	latest	Scaffold	2009/12/04	2	1800	Pathogenic
Bacteroides sp. 3_1_23	3_1_23	ENA	457390.0	Bacteroides sp. 3_1_23	GCA_000162555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/555/GCA_000162555.1_ASM16255v1	GCF_000162555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/555/GCF_000162555.1_ASM16255v1	457390	Bacteroides sp. 3_1_23	strain=3_1_23	latest	Scaffold	2010/06/17	3	5091	Pathogenic
Prevotella veroralis F0319	F0319	ENA	649761.0	Prevotella veroralis F0319	GCA_000162935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/935/GCA_000162935.1_ASM16293v1	GCF_000162935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/935/GCF_000162935.1_ASM16293v1	649761	Prevotella veroralis F0319	strain=F0319	latest	Scaffold	2009/08/21	5	2570	Pathogenic
Prevotella melaninogenica D18	D18	ENA	575612.0	Prevotella melaninogenica D18	GCA_000163035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/035/GCA_000163035.1_ASM16303v1	GCF_000163035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/035/GCF_000163035.1_ASM16303v1	575612	Prevotella melaninogenica D18	strain=D18	latest	Scaffold	2010/02/04	3	2679	Pathogenic
Prevotella sp. oral taxon 299 str. F0039	F0039	ENA	575614.0	Prevotella sp. oral taxon 299 str. F0039	GCA_000163055.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/055/GCA_000163055.2_ASM16305v2	GCF_000163055.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/055/GCF_000163055.2_ASM16305v2	575614	Prevotella sp. oral taxon 299 str. F0039	strain=F0039	latest	Complete Genome	2013/08/21	3	1992	Pathogenic
