Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Mycobacteroides abscessus	10896-16	Patric (diseases)	1962118	M. abscessus	GCA_015499735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/499/735/GCA_015499735.1_ASM1549973v1	GCF_015499735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/499/735/GCF_015499735.1_ASM1549973v1	1962118	Mycobacteroides abscessus subsp. massiliense	strain=10896-16	latest	Contig	2020-11-16	Pathogenic
Pseudomonas aeruginosa	SCL8820	NCBI	287	P. aeruginosa	GCA_037001245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/001/245/GCA_037001245.1_ASM3700124v1	GCF_037001245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/001/245/GCF_037001245.1_ASM3700124v1	287	Pseudomonas aeruginosa	strain=SCL8820	latest	Contig	2024-03-04	Pathogenic
Pseudomonas aeruginosa	SCL9620	NCBI	287	P. aeruginosa	GCA_037000845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/000/845/GCA_037000845.1_ASM3700084v1	GCF_037000845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/000/845/GCF_037000845.1_ASM3700084v1	287	Pseudomonas aeruginosa	strain=SCL9620	latest	Contig	2024-03-04	Pathogenic
Enterobacter kobei	ELB100	NCBI	208224	E. kobei	GCA_036709715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/709/715/GCA_036709715.1_ASM3670971v1	GCF_036709715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/709/715/GCF_036709715.1_ASM3670971v1	208224	Enterobacter kobei	strain=ELB100	latest	Contig	2024-02-20	Pathogenic
Neisseria gonorrhoeae	WHO_S2_2024	NCBI	485	N. gonorrhoeae	GCA_040371445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/371/445/GCA_040371445.1_WHO_S2_2024	GCF_040371445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/371/445/GCF_040371445.1_WHO_S2_2024	485	Neisseria gonorrhoeae	strain=WHO_S2_2024	latest	Complete Genome	2024-06-28	Pathogenic
Enterobacter hormaechei	ST88EH1	NCBI	158836	E. hormaechei	GCA_040562825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/562/825/GCA_040562825.1_ASM4056282v1	GCF_040562825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/562/825/GCF_040562825.1_ASM4056282v1	158836	Enterobacter hormaechei	strain=ST88EH1	latest	Contig	2024-07-08	Pathogenic
Klebsiella pneumoniae	MRSN952083	NCBI	573	K. pneumoniae	GCA_036035565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/035/565/GCA_036035565.1_ASM3603556v1	GCF_036035565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/035/565/GCF_036035565.1_ASM3603556v1	573	Klebsiella pneumoniae	strain=MRSN952083	latest	Contig	2024-01-24	Pathogenic
Klebsiella pneumoniae	HD2888	NCBI	573	K. pneumoniae	GCA_041385745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/385/745/GCA_041385745.1_ASM4138574v1	GCF_041385745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/385/745/GCF_041385745.1_ASM4138574v1	573	Klebsiella pneumoniae	strain=HD2888	latest	Contig	2024-08-20	Pathogenic
Clostridioides difficile	91	NCBI, Patric (diseases)	1496	C. difficile	GCA_036699175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/699/175/GCA_036699175.1_ASM3669917v1	GCF_036699175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/699/175/GCF_036699175.1_ASM3669917v1	1496	Clostridioides difficile	strain=91	latest	Contig	2024-02-19	Pathogenic
Staphylococcus aureus	CUBIST-25	NCBI	1280	S. aureus	GCA_041531655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/531/655/GCA_041531655.1_CUBIST-25	GCF_041531655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/531/655/GCF_041531655.1_CUBIST-25	1280	Staphylococcus aureus	strain=CUBIST-25	latest	Complete Genome	2024-08-29	Pathogenic
Streptococcus pyogenes	C221100663	NCBI	1314	S. pyogenes	GCA_041901025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/901/025/GCA_041901025.1_ASM4190102v1	GCF_041901025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/901/025/GCF_041901025.1_ASM4190102v1	1314	Streptococcus pyogenes	strain=C221100663	latest	Scaffold	2024-09-11	Pathogenic
Klebsiella pneumoniae	KLEPN-0004	NCBI	573	K. pneumoniae	GCA_040422985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/422/985/GCA_040422985.1_ASM4042298v1	GCF_040422985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/422/985/GCF_040422985.1_ASM4042298v1	573	Klebsiella pneumoniae	strain=KLEPN-0004	latest	Contig	2024-06-28	Pathogenic
Citrobacter freundii	uvzsr-PT_24_00031-A01-AR_24_00002279	NCBI	546	C. freundii	GCA_964339805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/339/805/GCA_964339805.1_24-2279	GCF_964339805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/339/805/GCF_964339805.1_24-2279	546	Citrobacter freundii	strain=uvzsr-PT_24_00031-A01-AR_24_00002279	latest	Contig	2024-11-13	Pathogenic
Escherichia coli	70981276	NCBI	562	E. coli	GCA_043835555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/835/555/GCA_043835555.1_ASM4383555v1	GCF_043835555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/835/555/GCF_043835555.1_ASM4383555v1	562	Escherichia coli	strain=70981276	latest	Contig	2024-10-25	Pathogenic
Escherichia coli	RTP21230st2_F1_RTP21230_210325	NCBI	562	E. coli	GCA_040925325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/925/325/GCA_040925325.1_ASM4092532v1	GCF_040925325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/925/325/GCF_040925325.1_ASM4092532v1	562	Escherichia coli	strain=RTP21230st2_F1_RTP21230_210325	latest	Scaffold	2024-07-27	Pathogenic
Staphylococcus aureus	CNRS23696	NCBI	1280	S. aureus	GCA_039634575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/634/575/GCA_039634575.1_ASM3963457v1	GCF_039634575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/634/575/GCF_039634575.1_ASM3963457v1	1280	Staphylococcus aureus	strain=CNRS23696	latest	Chromosome	2024-05-15	Pathogenic
Enterobacter hormaechei	dmeb_c744b	NCBI	158836	E. hormaechei	GCA_040269955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/269/955/GCA_040269955.1_ASM4026995v1	GCF_040269955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/269/955/GCF_040269955.1_ASM4026995v1	158836	Enterobacter hormaechei	strain=dmeb_c744b	latest	Contig	2024-06-24	Pathogenic
Salmonella enterica	S052	NCBI, Patric (diseases)	90370	S. enterica	GCA_037059935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/059/935/GCA_037059935.1_ASM3705993v1	GCF_037059935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/059/935/GCF_037059935.1_ASM3705993v1	90370	Salmonella enterica subsp. enterica serovar Typhi	strain=S052	latest	Contig	2024-03-07	Pathogenic
Enterobacter hormaechei	W38	NCBI	158836	E. hormaechei	GCA_041005965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/005/965/GCA_041005965.1_W38	GCF_041005965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/005/965/GCF_041005965.1_W38	158836	Enterobacter hormaechei	strain=W38	latest	Complete Genome	2024-08-03	Pathogenic
Campylobacter jejuni	21CJ05	NCBI	197	C. jejuni	GCA_040188775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/188/775/GCA_040188775.1_ASM4018877v1	GCF_040188775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/188/775/GCF_040188775.1_ASM4018877v1	197	Campylobacter jejuni	strain=21CJ05	latest	Contig	2024-06-14	Pathogenic
Enterococcus faecium	uvzsr-PT_24_00013-A08-AR_24_00000859	NCBI	1352	E. faecium	GCA_964234295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/234/295/GCA_964234295.1_24-859	GCF_964234295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/234/295/GCF_964234295.1_24-859	1352	Enterococcus faecium	strain=uvzsr-PT_24_00013-A08-AR_24_00000859	latest	Contig	2024-08-27	Pathogenic
Acinetobacter baumannii	S22	NCBI	470	A. baumannii	GCA_040304185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/304/185/GCA_040304185.1_ASM4030418v1	GCF_040304185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/304/185/GCF_040304185.1_ASM4030418v1	470	Acinetobacter baumannii	strain=S22	latest	Scaffold	2024-06-25	Pathogenic
Klebsiella pneumoniae	Kp203	NCBI	548	K. pneumoniae	GCA_040328775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/328/775/GCA_040328775.1_ASM4032877v1	GCF_040328775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/328/775/GCF_040328775.1_ASM4032877v1	548	Klebsiella aerogenes	strain=Kp203	latest	Contig	2024-06-25	Pathogenic
Acinetobacter baumannii	HUC-100	NCBI, Patric (diseases)	470	A. baumannii	GCA_037007725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/007/725/GCA_037007725.1_ASM3700772v1	GCF_037007725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/007/725/GCF_037007725.1_ASM3700772v1	470	Acinetobacter baumannii	strain=HUC-100	latest	Contig	2024-03-05	Pathogenic
Klebsiella pneumoniae	Kp250	NCBI	573	K. pneumoniae	GCA_040325645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/325/645/GCA_040325645.1_ASM4032564v1	GCF_040325645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/325/645/GCF_040325645.1_ASM4032564v1	573	Klebsiella pneumoniae	strain=Kp250	latest	Scaffold	2024-06-25	Pathogenic
Acinetobacter baumannii	S9	NCBI	470	A. baumannii	GCA_040304405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/304/405/GCA_040304405.1_ASM4030440v1	GCF_040304405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/304/405/GCF_040304405.1_ASM4030440v1	470	Acinetobacter baumannii	strain=S9	latest	Scaffold	2024-06-25	Pathogenic
Staphylococcus aureus	057386_SL071	NCBI	1280	S. aureus	GCA_037992465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/992/465/GCA_037992465.1_ASM3799246v1	GCF_037992465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/992/465/GCF_037992465.1_ASM3799246v1	1280	Staphylococcus aureus	strain=057386_SL071	latest	Contig	2024-04-05	Pathogenic
Providencia alcalifaciens	FFMG-242-8-21	NCBI	584	P. alcalifaciens	GCA_964211155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/211/155/GCA_964211155.1_FFMG_242-8-21.1	GCF_964211155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/211/155/GCF_964211155.1_FFMG_242-8-21.1	584	Proteus mirabilis	strain=FFMG-242-8-21	latest	Contig	2024-07-30	Pathogenic
Enterobacter hormaechei	KE9347	NCBI	158836	E. hormaechei	GCA_043833035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/833/035/GCA_043833035.1_ASM4383303v1	GCF_043833035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/833/035/GCF_043833035.1_ASM4383303v1	158836	Enterobacter hormaechei	strain=KE9347	latest	Contig	2024-10-25	Pathogenic
Serratia marcescens	Smarc01102	NCBI	615	S. marcescens	GCA_964302015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/302/015/GCA_964302015.1_Smarc01102-191213_contigs_filtered.fa.gz	GCF_964302015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/302/015/GCF_964302015.1_Smarc01102-191213_contigs_filtered.fa.gz	615	Serratia marcescens	strain=Smarc01102	latest	Contig	2024-11-26	Pathogenic
Escherichia coli	LACPHL-BACT-2024-00217	ENA, NCBI	562	E. coli	GCA_040797265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/797/265/GCA_040797265.1_ASM4079726v1	GCF_040797265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/797/265/GCF_040797265.1_ASM4079726v1	562	Escherichia coli	strain=LACPHL-BACT-2024-00217	latest	Contig	2024-07-21	Pathogenic
Salmonella enterica	2024CK-1945744	NCBI	28901	S. enterica	GCA_045347675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/347/675/GCA_045347675.1_ASM4534767v1	GCF_045347675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/347/675/GCF_045347675.1_ASM4534767v1	28901	Salmonella enterica	strain=2024CK-1945744	latest	Complete Genome	2024-11-27	Pathogenic
Klebsiella pneumoniae	NA-28	NCBI	573	K. pneumoniae	GCA_040796865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/796/865/GCA_040796865.1_ASM4079686v1	GCF_040796865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/796/865/GCF_040796865.1_ASM4079686v1	573	Klebsiella pneumoniae	strain=NA-28	latest	Contig	2024-07-21	Pathogenic
Escherichia coli	MHK09902	NCBI	562	E. coli	GCA_039058285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/058/285/GCA_039058285.1_ASM3905828v1	GCF_039058285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/058/285/GCF_039058285.1_ASM3905828v1	562	Escherichia coli	strain=MHK09902	latest	Contig	2024-05-02	Pathogenic
Clostridioides difficile	CDK1ELNT	NCBI	1496	C. difficile	GCA_037448835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/448/835/GCA_037448835.1_ASM3744883v1	GCF_037448835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/448/835/GCF_037448835.1_ASM3744883v1	1496	Clostridioides difficile	strain=CDK1ELNT	latest	Contig	2024-03-21	Pathogenic
Pseudomonas aeruginosa	MRSN122310	NCBI	287	P. aeruginosa	GCA_037890895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/890/895/GCA_037890895.1_MRSN122310.fasta	GCF_037890895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/890/895/GCF_037890895.1_MRSN122310.fasta	287	Pseudomonas aeruginosa	strain=MRSN122310	latest	Contig	2024-03-31	Pathogenic
Vibrio parahaemolyticus	F8H	NCBI	670	V. parahaemolyticus	GCA_039992055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/992/055/GCA_039992055.1_ASM3999205v1	GCF_039992055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/992/055/GCF_039992055.1_ASM3999205v1	670	Vibrio parahaemolyticus	strain=F8H	latest	Scaffold	2024-05-31	Pathogenic
Klebsiella pneumoniae	ESBL19	NCBI	573	K. pneumoniae	GCA_040757895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/757/895/GCA_040757895.1_ASM4075789v1	GCF_040757895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/757/895/GCF_040757895.1_ASM4075789v1	573	Klebsiella pneumoniae	strain=ESBL19	latest	Contig	2024-07-17	Pathogenic
Klebsiella pneumoniae	Esso3	NCBI	244366	K. pneumoniae	GCA_036914155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/914/155/GCA_036914155.1_ASM3691415v1	GCF_036914155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/914/155/GCF_036914155.1_ASM3691415v1	244366	Klebsiella variicola	strain=Esso3	latest	Scaffold	2024-02-28	Pathogenic
Enterococcus faecalis	MI19097024	NCBI	1351	E. faecalis	GCA_038898995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/898/995/GCA_038898995.1_ASM3889899v1	GCF_038898995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/898/995/GCF_038898995.1_ASM3889899v1	1351	Enterococcus faecalis	strain=MI19097024	latest	Contig	2024-04-30	Pathogenic
Enterobacter hormaechei	FFZB-160-B	NCBI	158836	E. hormaechei	GCA_964208865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/208/865/GCA_964208865.1_FFZB_160-B.1	GCF_964208865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/208/865/GCF_964208865.1_FFZB_160-B.1	158836	Enterobacter hormaechei	strain=FFZB-160-B	latest	Contig	2024-07-29	Pathogenic
Burkholderia cepacia	HNBS001	NCBI	2843303	B. cepacia	GCA_040735455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/735/455/GCA_040735455.1_ASM4073545v1	GCF_040735455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/455/GCF_040735455.1_ASM4073545v1	2843303	Burkholderia semiarida	strain=HNBS001	latest	Complete Genome	2024-07-17	Pathogenic
Pseudomonas aeruginosa	PA-52	NCBI	287	P. aeruginosa	GCA_040714615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/714/615/GCA_040714615.1_ASM4071461v1	GCF_040714615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/714/615/GCF_040714615.1_ASM4071461v1	287	Pseudomonas aeruginosa	strain=PA-52	latest	Contig	2024-07-15	Pathogenic
Acinetobacter baumannii	Hv455	NCBI	470	A. baumannii	GCA_042140455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/140/455/GCA_042140455.1_Hv455	GCF_042140455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/140/455/GCF_042140455.1_Hv455	470	Acinetobacter baumannii	strain=Hv455	latest	Complete Genome	2024-09-25	Pathogenic
Enterococcus faecalis	MI18043048	NCBI	1351	E. faecalis	GCA_038899395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/899/395/GCA_038899395.1_ASM3889939v1	GCF_038899395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/899/395/GCF_038899395.1_ASM3889939v1	1351	Enterococcus faecalis	strain=MI18043048	latest	Contig	2024-04-30	Pathogenic
Burkholderia cepacia	CEP0996	NCBI	152480	B. cepacia	GCA_026683835.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/683/835/GCA_026683835.2_ASM2668383v2	GCF_026683835.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/683/835/GCF_026683835.2_ASM2668383v2	152480	Burkholderia ambifaria	strain=CEP0996	latest	Complete Genome	2024-03-29	Pathogenic
Pseudomonas aeruginosa	122251	NCBI	287	P. aeruginosa	GCA_043266605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/266/605/GCA_043266605.1_ASM4326660v1	GCF_043266605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/266/605/GCF_043266605.1_ASM4326660v1	287	Pseudomonas aeruginosa	strain=122251	latest	Contig	2024-10-16	Pathogenic
Klebsiella pneumoniae	MMR005	NCBI	1463165	K. pneumoniae	GCA_044430665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/430/665/GCA_044430665.1_ASM4443066v1	GCF_044430665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/430/665/GCF_044430665.1_ASM4443066v1	1463165	Klebsiella quasipneumoniae	strain=MMR005	latest	Contig	2024-11-04	Pathogenic
Enterococcus faecalis	C1155	NCBI	1351	E. faecalis	GCA_044133665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/133/665/GCA_044133665.1_ASM4413366v1	GCF_044133665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/133/665/GCF_044133665.1_ASM4413366v1	1351	Enterococcus faecalis	strain=C1155	latest	Contig	2024-10-30	Pathogenic
Enterobacter cloacae	ECC-068	NCBI	69219	E. cloacae	GCA_043972705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/972/705/GCA_043972705.1_ASM4397270v1	GCF_043972705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/972/705/GCF_043972705.1_ASM4397270v1	69219	Enterobacter cloacae subsp. dissolvens	strain=ECC-068	latest	Complete Genome	2024-10-29	Pathogenic
Klebsiella pneumoniae	KP2005568	NCBI	573	K. pneumoniae	GCA_037727355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/727/355/GCA_037727355.1_ASM3772735v1	GCF_037727355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/727/355/GCF_037727355.1_ASM3772735v1	573	Klebsiella pneumoniae	strain=KP2005568	latest	Contig	2024-03-27	Pathogenic
Enterobacter ludwigii	2024CK-01200	NCBI	299767	E. ludwigii	GCA_041110985.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/110/985/GCA_041110985.2_2024CK-01200	GCF_041110985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/110/985/GCF_041110985.1_2024CK-01200	299767	Enterobacter ludwigii	strain=2024CK-01200	latest	Complete Genome	2024-09-20	Pathogenic
Acinetobacter baumannii	CCBH33045	NCBI	470	A. baumannii	GCA_039677765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/677/765/GCA_039677765.1_ASM3967776v1	GCF_039677765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/677/765/GCF_039677765.1_ASM3967776v1	470	Acinetobacter baumannii	strain=CCBH33045	latest	Contig	2024-05-18	Pathogenic
Enterobacter hormaechei	ST171EH35	NCBI	158836	E. hormaechei	GCA_040559905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/559/905/GCA_040559905.1_ASM4055990v1	GCF_040559905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/559/905/GCF_040559905.1_ASM4055990v1	158836	Enterobacter hormaechei	strain=ST171EH35	latest	Contig	2024-07-08	Pathogenic
Escherichia coli	20200203_MGL-04_B1	NCBI	562	E. coli	GCA_036531695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/531/695/GCA_036531695.1_ASM3653169v1	GCF_036531695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/531/695/GCF_036531695.1_ASM3653169v1	562	Escherichia coli	strain=20200203_MGL-04_B1	latest	Contig	2024-02-09	Pathogenic
Enterococcus faecium	LW227	NCBI	1352	E. faecium	GCA_040201755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/201/755/GCA_040201755.1_ASM4020175v1	GCF_040201755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/201/755/GCF_040201755.1_ASM4020175v1	1352	Enterococcus faecium	strain=LW227	latest	Contig	2024-06-16	Pathogenic
Escherichia coli		NCBI	562	E. coli	GCA_963679295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/679/295/GCA_963679295.1_9a4aec2	GCF_963679295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/679/295/GCF_963679295.1_9a4aec2	562	Escherichia coli	na	latest	Contig	2024-01-03	Pathogenic
Listeria monocytogenes	GIMC2079:LmcUH26	NCBI	1639	L. monocytogenes	GCA_030730725.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/730/725/GCA_030730725.2_ASM3073072v2	GCF_030730725.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/730/725/GCF_030730725.2_ASM3073072v2	1639	Listeria monocytogenes	strain=GIMC2079:LmcUH26	latest	Complete Genome	2024-05-18	Pathogenic
Escherichia coli	CRCmo5	NCBI	562	E. coli	GCA_042862825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/862/825/GCA_042862825.1_ASM4286282v1	GCF_042862825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/862/825/GCF_042862825.1_ASM4286282v1	562	Escherichia coli	strain=CRCmo5	latest	Contig	2024-10-09	Pathogenic
Serratia marcescens	149	NCBI	615	S. marcescens	GCA_038446005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/446/005/GCA_038446005.1_ASM3844600v1	GCF_038446005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/446/005/GCF_038446005.1_ASM3844600v1	615	Serratia marcescens	strain=149	latest	Contig	2024-04-24	Pathogenic
Bacillus cereus	P16	NCBI	2026186	B. cereus	GCA_035618275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/618/275/GCA_035618275.1_ASM3561827v1	GCF_035618275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/618/275/GCF_035618275.1_ASM3561827v1	2026186	Bacillus paranthracis	strain=P16	latest	Contig	2024-01-12	Pathogenic
Stenotrophomonas maltophilia	SMYL88	NCBI	40324	S. maltophilia	GCA_036319085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/319/085/GCA_036319085.1_ASM3631908v1	GCF_036319085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/319/085/GCF_036319085.1_ASM3631908v1	40324	Stenotrophomonas maltophilia	strain=SMYL88	latest	Scaffold	2024-01-31	Pathogenic
Acinetobacter baumannii	SUD-TW-P1	NCBI	470	A. baumannii	GCA_037783915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/783/915/GCA_037783915.1_ASM3778391v1	GCF_037783915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/783/915/GCF_037783915.1_ASM3778391v1	470	Acinetobacter baumannii	strain=SUD-TW-P1	latest	Scaffold	2024-03-28	Pathogenic
Klebsiella pneumoniae	SK073	NCBI	573	K. pneumoniae	GCA_041538465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/538/465/GCA_041538465.1_ASM4153846v1	GCF_041538465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/538/465/GCF_041538465.1_ASM4153846v1	573	Klebsiella pneumoniae	strain=SK073	latest	Scaffold	2024-08-28	Pathogenic
Escherichia coli	14188-08	NCBI	562	E. coli	GCA_036599265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/599/265/GCA_036599265.1_ASM3659926v1	GCF_036599265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/599/265/GCF_036599265.1_ASM3659926v1	562	Escherichia coli	strain=14188-08	latest	Contig	2024-02-14	Pathogenic
