Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Neisseria meningitidis ATCC 13091//Neisseria meningitidis	ATCC 13091	ENA, NCBI	ENADB, NCBIPathogenDBB	862513.0	Neisseria meningitidis ATCC 13091//Neisseria meningitidis	GCA_000146655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/655/GCA_000146655.1_ASM14665v1	Pathogenic	GCF_000146655.1	PRJNA224116	SAMN00117532	AEEF00000000.1	na	862513	487	Neisseria meningitidis ATCC 13091	strain=ATCC 13091		latest	Scaffold	Major	Full	2010/09/01	ASM14665v1	Baylor College of Medicine	GCA_000146655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/655/GCF_000146655.1_ASM14665v1			na	Neisseria meningitidis	NZ_GL397187.1	Neisseria meningitidis ATCC 13091 SCAFFOLD1, whole genome shotgun sequence	GCF_000146655.1_ASM14665v1_genomic.fna.gz 	GCF_000146655.1	73	1	GCF_000/GCF_000146655.1_ASM14665v1_genomic.h5	2116
Streptococcus pyogenes ATCC 10782//Streptococcus pyogenes	ATCC 10782	ENA, NCBI	ENADB, NCBIPathogenDBB	864568.0	Streptococcus pyogenes ATCC 10782//Streptococcus pyogenes	GCA_000146715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/715/GCA_000146715.1_ASM14671v1	Pathogenic	GCF_000146715.1	PRJNA224116	SAMN00189880	AEEO00000000.1	na	864568	1314	Streptococcus pyogenes ATCC 10782	strain=ATCC 10782		latest	Scaffold	Major	Full	2010/09/03	ASM14671v1	Baylor College of Medicine	GCA_000146715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/715/GCF_000146715.1_ASM14671v1			na	Streptococcus pyogenes	NZ_GL397225.1	Streptococcus pyogenes ATCC 10782 SCAFFOLD1, whole genome shotgun sequence	GCF_000146715.1_ASM14671v1_genomic.fna.gz 	GCF_000146715.1	29	4	GCF_000/GCF_000146715.1_ASM14671v1_genomic.h5	1889
Streptococcus sp. oral taxon 071 str. 73H25AP	73H25AP	ENA	ENADB	864570.0	Streptococcus sp. oral taxon 071 str. 73H25AP	GCA_000146755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/755/GCA_000146755.1_ASM14675v1	Pathogenic	GCF_000146755.1	PRJNA224116	SAMN00260141	AEEP00000000.1	na	864570	712630	Streptococcus sp. oral taxon 071 str. 73H25AP	strain=73H25AP		latest	Scaffold	Major	Full	2010/09/03	ASM14675v1	Baylor College of Medicine	GCA_000146755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/755/GCF_000146755.1_ASM14675v1			na	Streptococcus sp.	NZ_GL397254.1	Streptococcus sp. oral taxon 071 str. 73H25AP SCAFFOLD1, whole genome shotgun sequence	GCF_000146755.1_ASM14675v1_genomic.fna.gz 	GCF_000146755.1	277	1	GCF_000/GCF_000146755.1_ASM14675v1_genomic.h5	1875
Enterococcus faecalis TX0630//Enterococcus faecalis	TX0630	ENA, NCBI	ENADB, NCBIPathogenDBB	749508.0	Enterococcus faecalis TX0630//Enterococcus faecalis	GCA_000147255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/255/GCA_000147255.1_ASM14725v1	Pathogenic	GCF_000147255.1	PRJNA224116	SAMN00189115	AEBE00000000.1	na	749508	1351	Enterococcus faecalis TX0630	strain=TX0630		latest	Scaffold	Major	Full	2010/09/23	ASM14725v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/255/GCF_000147255.1_ASM14725v1			na	Enterococcus faecalis	NZ_GL454762.1	Enterococcus faecalis TX0630 Scfld4, whole genome shotgun sequence	GCF_000147255.1_ASM14725v1_genomic.fna.gz 	GCF_000147255.1	167	4	GCF_000/GCF_000147255.1_ASM14725v1_genomic.h5	3267
Enterococcus faecalis TX4244//Enterococcus faecalis	TX4244	ENA, NCBI	ENADB, NCBIPathogenDBB	749494.0	Enterococcus faecalis TX4244//Enterococcus faecalis	GCA_000147295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/295/GCA_000147295.1_ASM14729v1	Pathogenic	GCF_000147295.1	PRJNA224116	SAMN00189131	AEBH00000000.1	na	749494	1351	Enterococcus faecalis TX4244	strain=TX4244		latest	Scaffold	Major	Full	2010/09/24	ASM14729v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/295/GCF_000147295.1_ASM14729v1			na	Enterococcus faecalis	NZ_GL454677.1	Enterococcus faecalis TX4244 Scfld14, whole genome shotgun sequence	GCF_000147295.1_ASM14729v1_genomic.fna.gz 	GCF_000147295.1	167	4	GCF_000/GCF_000147295.1_ASM14729v1_genomic.h5	2784
Enterococcus faecalis TX1346//Enterococcus faecalis	TX1346	ENA, NCBI	ENADB, NCBIPathogenDBB	749516.0	Enterococcus faecalis TX1346//Enterococcus faecalis	GCA_000147455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/455/GCA_000147455.1_ASM14745v1	Pathogenic	GCF_000147455.1	PRJNA224116	SAMN00189126	AEBI00000000.1	na	749516	1351	Enterococcus faecalis TX1346	strain=TX1346		latest	Scaffold	Major	Full	2010/09/23	ASM14745v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/455/GCF_000147455.1_ASM14745v1			na	Enterococcus faecalis	NZ_GL454586.1	Enterococcus faecalis TX1346 Scfld65, whole genome shotgun sequence	GCF_000147455.1_ASM14745v1_genomic.fna.gz 	GCF_000147455.1	167	4	GCF_000/GCF_000147455.1_ASM14745v1_genomic.h5	2703
Enterococcus faecalis TX1342//Enterococcus faecalis	TX1342	ENA, NCBI	ENADB, NCBIPathogenDBB	749515.0	Enterococcus faecalis TX1342//Enterococcus faecalis	GCA_000147475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/475/GCA_000147475.1_ASM14747v1	Pathogenic	GCF_000147475.1	PRJNA224116	SAMN00189125	AEBJ00000000.1	na	749515	1351	Enterococcus faecalis TX1342	strain=TX1342		latest	Scaffold	Major	Full	2010/09/24	ASM14747v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/475/GCF_000147475.1_ASM14747v1			na	Enterococcus faecalis	NZ_GL454559.1	Enterococcus faecalis TX1342 Scfld7, whole genome shotgun sequence	GCF_000147475.1_ASM14747v1_genomic.fna.gz 	GCF_000147475.1	167	4	GCF_000/GCF_000147475.1_ASM14747v1_genomic.h5	2665
Peptostreptococcus stomatis DSM 17678	DSM 17678	ENA	ENADB	596315.0	Peptostreptococcus stomatis DSM 17678	GCA_000147675.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/675/GCA_000147675.2_ASM14767v1	Pathogenic	GCF_000147675.1	PRJNA224116	SAMN00008344	ADGQ00000000.1	representative genome	596315	341694	Peptostreptococcus stomatis DSM 17678	strain=DSM 17678		latest	Contig	Major	Full	2010/09/09	ASM14767v1	J. Craig Venter Institute	GCA_000147675.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/675/GCF_000147675.1_ASM14767v1		assembly from type material	na	Peptostreptococcus stomatis	NZ_ADGQ01000074.1	Peptostreptococcus stomatis DSM 17678 contig00005, whole genome shotgun sequence	GCF_000147675.1_ASM14767v1_genomic.fna.gz 	GCF_000147675.1	17853	4	GCF_000/GCF_000147675.1_ASM14767v1_genomic.h5	1830
Enterococcus faecalis//Enterococcus faecalis TX4248	TX4248	ENA, NCBI	ENADB, NCBIPathogenDBB	749495.0	Enterococcus faecalis//Enterococcus faecalis TX4248	GCA_000147925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/925/GCA_000147925.1_ASM14792v1	Pathogenic	GCF_000147925.1	PRJNA224116	SAMN00189132	AEBR00000000.1	na	749495	1351	Enterococcus faecalis TX4248	strain=TX4248		latest	Scaffold	Major	Full	2010/09/23	ASM14792v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/925/GCF_000147925.1_ASM14792v1			na	Enterococcus faecalis	NZ_GL454407.1	Enterococcus faecalis TX4248 Scfld1, whole genome shotgun sequence	GCF_000147925.1_ASM14792v1_genomic.fna.gz 	GCF_000147925.1	167	4	GCF_000/GCF_000147925.1_ASM14792v1_genomic.h5	3121
Enterococcus faecalis TX0855//Enterococcus faecalis	TX0855	ENA, NCBI	ENADB, NCBIPathogenDBB	749511.0	Enterococcus faecalis TX0855//Enterococcus faecalis	GCA_000148045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/045/GCA_000148045.1_ASM14804v1	Pathogenic	GCF_000148045.1	PRJNA224116	SAMN00189119	AEBV00000000.1	na	749511	1351	Enterococcus faecalis TX0855	strain=TX0855		latest	Scaffold	Major	Full	2010/09/24	ASM14804v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/045/GCF_000148045.1_ASM14804v1			na	Enterococcus faecalis	NZ_GL455640.1	Enterococcus faecalis TX0855 Scfld26, whole genome shotgun sequence	GCF_000148045.1_ASM14804v1_genomic.fna.gz 	GCF_000148045.1	167	4	GCF_000/GCF_000148045.1_ASM14804v1_genomic.h5	2861
Enterococcus faecalis TX2134//Enterococcus faecalis	TX2134	ENA, NCBI	ENADB, NCBIPathogenDBB	749518.0	Enterococcus faecalis TX2134//Enterococcus faecalis	GCA_000148065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/065/GCA_000148065.1_ASM14806v1	Pathogenic	GCF_000148065.1	PRJNA224116	SAMN00189127	AEBW00000000.1	na	749518	1351	Enterococcus faecalis TX2134	strain=TX2134		latest	Scaffold	Major	Full	2010/09/24	ASM14806v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/065/GCF_000148065.1_ASM14806v1			na	Enterococcus faecalis	NZ_GL455562.1	Enterococcus faecalis TX2134 Scfld11, whole genome shotgun sequence	GCF_000148065.1_ASM14806v1_genomic.fna.gz 	GCF_000148065.1	167	4	GCF_000/GCF_000148065.1_ASM14806v1_genomic.h5	3062
Enterococcus faecium TX0133B//Enterococcus faecium	TX0133B	ENA, NCBI	ENADB, NCBIPathogenDBB	749524.0	Enterococcus faecium TX0133B//Enterococcus faecium	GCA_000148145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/145/GCA_000148145.1_ASM14814v1	Pathogenic	GCF_000148145.1	PRJNA224116	SAMN00189138	AECI00000000.1	na	749524	1352	Enterococcus faecium TX0133B	strain=TX0133B		latest	Scaffold	Major	Full	2010/09/24	ASM14814v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/145/GCF_000148145.1_ASM14814v1			na	Enterococcus faecium	NZ_GL456794.1	Enterococcus faecium TX0133B Scfld5, whole genome shotgun sequence	GCF_000148145.1_ASM14814v1_genomic.fna.gz 	GCF_000148145.1	25	1	GCF_000/GCF_000148145.1_ASM14814v1_genomic.h5	2905
Enterococcus faecalis//Enterococcus faecalis TX0411	TX0411	ENA, NCBI	ENADB, NCBIPathogenDBB	749506.0	Enterococcus faecalis//Enterococcus faecalis TX0411	GCA_000148185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/185/GCA_000148185.1_ASM14818v1	Pathogenic	GCF_000148185.1	PRJNA224116	SAMN00189113	AECA00000000.1	na	749506	1351	Enterococcus faecalis TX0411	strain=TX0411		latest	Scaffold	Major	Full	2010/09/24	ASM14818v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/185/GCF_000148185.1_ASM14818v1			na	Enterococcus faecalis	NZ_GL456398.1	Enterococcus faecalis TX0411 Scfld0, whole genome shotgun sequence	GCF_000148185.1_ASM14818v1_genomic.fna.gz 	GCF_000148185.1	167	4	GCF_000/GCF_000148185.1_ASM14818v1_genomic.h5	3100
Enterococcus faecalis TX0645//Enterococcus faecalis	TX0645	ENA, NCBI	ENADB, NCBIPathogenDBB	749510.0	Enterococcus faecalis TX0645//Enterococcus faecalis	GCA_000148205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/205/GCA_000148205.1_ASM14820v1	Pathogenic	GCF_000148205.1	PRJNA224116	SAMN00189118	AECE00000000.1	na	749510	1351	Enterococcus faecalis TX0645	strain=TX0645		latest	Scaffold	Major	Full	2010/09/24	ASM14820v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/205/GCF_000148205.1_ASM14820v1			na	Enterococcus faecalis	NZ_GL457070.1	Enterococcus faecalis TX0645 Scfld2, whole genome shotgun sequence	GCF_000148205.1_ASM14820v1_genomic.fna.gz 	GCF_000148205.1	167	4	GCF_000/GCF_000148205.1_ASM14820v1_genomic.h5	3150
Enterococcus faecalis TX1341//Enterococcus faecalis	TX1341	ENA, NCBI	ENADB, NCBIPathogenDBB	749514.0	Enterococcus faecalis TX1341//Enterococcus faecalis	GCA_000148225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/225/GCA_000148225.1_ASM14822v1	Pathogenic	GCF_000148225.1	PRJNA224116	SAMN00189124	AECF00000000.1	na	749514	1351	Enterococcus faecalis TX1341	strain=TX1341		latest	Scaffold	Major	Full	2010/09/24	ASM14822v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/225/GCF_000148225.1_ASM14822v1			na	Enterococcus faecalis	NZ_GL457160.1	Enterococcus faecalis TX1341 Scfld2, whole genome shotgun sequence	GCF_000148225.1_ASM14822v1_genomic.fna.gz 	GCF_000148225.1	167	4	GCF_000/GCF_000148225.1_ASM14822v1_genomic.h5	2881
Enterococcus faecalis//Enterococcus faecalis TX0012	TX0012	ENA, NCBI	ENADB, NCBIPathogenDBB	749496.0	Enterococcus faecalis//Enterococcus faecalis TX0012	GCA_000148245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/245/GCA_000148245.1_ASM14824v1	Pathogenic	GCF_000148245.1	PRJNA224116	SAMN00189103	AECD00000000.1	na	749496	1351	Enterococcus faecalis TX0012	strain=TX0012		latest	Scaffold	Major	Full	2010/09/24	ASM14824v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/245/GCF_000148245.1_ASM14824v1			na	Enterococcus faecalis	NZ_GL456473.1	Enterococcus faecalis TX0012 Scfld21, whole genome shotgun sequence	GCF_000148245.1_ASM14824v1_genomic.fna.gz 	GCF_000148245.1	167	4	GCF_000/GCF_000148245.1_ASM14824v1_genomic.h5	2652
Enterococcus faecalis TX0470//Enterococcus faecalis	TX0470	ENA, NCBI	ENADB, NCBIPathogenDBB	749507.0	Enterococcus faecalis TX0470//Enterococcus faecalis	GCA_000148265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/265/GCA_000148265.1_ASM14826v1	Pathogenic	GCF_000148265.1	PRJNA224116	SAMN00189114	AECC00000000.1	na	749507	1351	Enterococcus faecalis TX0470	strain=TX0470		latest	Scaffold	Major	Full	2010/09/24	ASM14826v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/265/GCF_000148265.1_ASM14826v1			na	Enterococcus faecalis	NZ_GL456509.1	Enterococcus faecalis TX0470 Scfld19, whole genome shotgun sequence	GCF_000148265.1_ASM14826v1_genomic.fna.gz 	GCF_000148265.1	167	4	GCF_000/GCF_000148265.1_ASM14826v1_genomic.h5	2772
Streptococcus pneumoniae	SK321	NCBI	NCBIPathogenDBB	585202.0	S. pneumoniae	GCA_000148505.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/505/GCA_000148505.2_ASM14850v1	Pathogenic	GCF_000148505.1	PRJNA224116	SAMN00001433	AEDT00000000.1	na	585202	28037	Streptococcus mitis SK321	strain=SK321		latest	Contig	Major	Full	2010/09/24	ASM14850v1	University of Maryland Institute for Genome Sciences	GCA_000148505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/505/GCF_000148505.1_ASM14850v1			na	Streptococcus mitis	NZ_AEDT01000040.1	Streptococcus mitis SK321 contigB3, whole genome shotgun sequence	GCF_000148505.1_ASM14850v1_genomic.fna.gz 	GCF_000148505.1	10	1	GCF_000/GCF_000148505.1_ASM14850v1_genomic.h5	1836
Streptococcus pneumoniae	SK564	NCBI	NCBIPathogenDBB	585203.0	S. pneumoniae	GCA_000148525.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/525/GCA_000148525.2_ASM14852v1	Pathogenic	GCF_000148525.1	PRJNA224116	SAMN00001434	AEDU00000000.1	na	585203	28037	Streptococcus mitis SK564	strain=SK564		latest	Contig	Major	Full	2010/09/24	ASM14852v1	University of Maryland Institute for Genome Sciences	GCA_000148525.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/525/GCF_000148525.1_ASM14852v1			na	Streptococcus mitis	NZ_AEDU01000035.1	Streptococcus mitis SK564 contigB3, whole genome shotgun sequence	GCF_000148525.1_ASM14852v1_genomic.fna.gz 	GCF_000148525.1	10	1	GCF_000/GCF_000148525.1_ASM14852v1_genomic.h5	1946
Streptococcus pneumoniae	SK597	NCBI	NCBIPathogenDBB	585204.0	S. pneumoniae	GCA_000148545.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/545/GCA_000148545.2_ASM14854v1	Pathogenic	GCF_000148545.1	PRJNA224116	SAMN00001435	AEDV00000000.1	na	585204	28037	Streptococcus mitis SK597	strain=SK597		latest	Contig	Major	Full	2010/09/24	ASM14854v1	University of Maryland Institute for Genome Sciences	GCA_000148545.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/545/GCF_000148545.1_ASM14854v1			na	Streptococcus mitis	NZ_AEDV01000108.1	Streptococcus mitis SK597 contigB5, whole genome shotgun sequence	GCF_000148545.1_ASM14854v1_genomic.fna.gz 	GCF_000148545.1	10	1	GCF_000/GCF_000148545.1_ASM14854v1_genomic.h5	1966
Helicobacter pylori SJM180	SJM180	ENA	ENADB	765962.0	Helicobacter pylori SJM180	GCA_000148855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/855/GCA_000148855.1_ASM14885v1	Pathogenic	GCF_000148855.1	PRJNA224116	SAMN02603202		na	765962	210	Helicobacter pylori SJM180	strain=SJM180		latest	Complete Genome	Major	Full	2010/10/01	ASM14885v1	Dept. of Molec. Microbiology, Washington University Medical School, Saint Louis	GCA_000148855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/855/GCF_000148855.1_ASM14885v1			na	Helicobacter pylori	NC_014560.1	Helicobacter pylori SJM180, complete sequence	GCF_000148855.1_ASM14885v1_genomic.fna.gz 	GCF_000148855.1	23	3	GCF_000/GCF_000148855.1_ASM14885v1_genomic.h5	1524
Helicobacter pylori PeCan4	PeCan4	ENA	ENADB	765963.0	Helicobacter pylori PeCan4	GCA_000148875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1	Pathogenic	GCF_000148875.1	PRJNA224116	SAMN02603203		na	765963	210	Helicobacter pylori PeCan4	strain=PeCan4		latest	Complete Genome	Major	Full	2010/10/01	ASM14887v1	Dept. of Molec. Microbiology, Washington University Medical School, Saint Louis	GCA_000148875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1			na	Helicobacter pylori	NC_014555.1	Helicobacter pylori PeCan4, complete sequence	GCF_000148875.1_ASM14887v1_genomic.fna.gz 	GCF_000148875.1	23	3	GCF_000/GCF_000148875.1_ASM14887v1_genomic.h5	1532
Helicobacter pylori Cuz20	Cuz20	ENA	ENADB	765964.0	Helicobacter pylori Cuz20	GCA_000148895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/895/GCA_000148895.1_ASM14889v1	Pathogenic	GCF_000148895.1	PRJNA224116	SAMN02603204		na	765964	210	Helicobacter pylori Cuz20	strain=Cuz20		latest	Complete Genome	Major	Full	2010/10/01	ASM14889v1	Dept. of Molec. Microbiology, Washington University Medical School, Saint Louis	GCA_000148895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/895/GCF_000148895.1_ASM14889v1			na	Helicobacter pylori	NC_017358.1	Helicobacter pylori Cuz20, complete sequence	GCF_000148895.1_ASM14889v1_genomic.fna.gz 	GCF_000148895.1	23	3	GCF_000/GCF_000148895.1_ASM14889v1_genomic.h5	1536
Helicobacter pylori Sat464//Helicobacter pylori	Sat464	ENA, Patric (diseases), Patric (diseases)	ENADB, , 	794851.0	Helicobacter pylori Sat464//Helicobacter pylori	GCA_000148915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/915/GCA_000148915.1_ASM14891v1	Pathogenic	GCF_000148915.1	PRJNA224116	SAMN02603200		na	794851	210	Helicobacter pylori Sat464	strain=Sat464		latest	Complete Genome	Major	Full	2010/10/01	ASM14891v1	Dept. Molec. Microbiology, Washintgton University Medical School in Saint Louis	GCA_000148915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/915/GCF_000148915.1_ASM14891v1			na	Helicobacter pylori	NC_017359.1	Helicobacter pylori Sat464, complete sequence	GCF_000148915.1_ASM14891v1_genomic.fna.gz 	GCF_000148915.1	23	3	GCF_000/GCF_000148915.1_ASM14891v1_genomic.h5	1464
Clostridium sp. L2-50	L2-50	ENA, Patric (diseases)	ENADB, 	411489.0	Clostridium sp. L2-50	GCA_000154245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/245/GCA_000154245.1_ASM15424v1	Pathogenic	GCF_000154245.1	PRJNA224116	SAMN02299417	AAYW00000000.2	na	411489	411489	Clostridium sp. L2-50	strain=L2-50		latest	Scaffold	Major	Full	2007/08/21	ASM15424v1	Washington University Genome Sequencing Center	GCA_000154245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/245/GCF_000154245.1_ASM15424v1			na	Clostridium sp.	NZ_DS480330.1	Clostridium sp. L2-50 Scfld_02_19, whole genome shotgun sequence	GCF_000154245.1_ASM15424v1_genomic.fna.gz 	GCF_000154245.1	1178	4	GCF_000/GCF_000154245.1_ASM15424v1_genomic.h5	2635
Parvimonas micra	ATCC 33270	Patric (diseases)		411465.0	P. micra	GCA_000154405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/405/GCA_000154405.1_ASM15440v1	Pathogenic	GCF_000154405.1	PRJNA224116	SAMN00627099	ABEE00000000.2	na	411465	33033	Parvimonas micra ATCC 33270	strain=ATCC 33270		latest	Scaffold	Major	Full	2007/09/12	ASM15440v1	Washington University Genome Sequencing Center	GCA_000154405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/405/GCF_000154405.1_ASM15440v1		assembly from type material	na	Parvimonas micra	NZ_DS483519.1	Parvimonas micra ATCC 33270 Scfld_02_15, whole genome shotgun sequence	GCF_000154405.1_ASM15440v1_genomic.fna.gz 	GCF_000154405.1	759	4	GCF_000/GCF_000154405.1_ASM15440v1_genomic.h5	1604
Clostridioides difficile	DSM 16795	NCBI	NCBIPathogenDBB	445973.0	C. difficile	GCA_000154445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/445/GCA_000154445.1_ASM15444v1	Pathogenic	GCF_000154445.1	PRJNA224116	SAMN02299419	ABEZ00000000.2	na	445973	261299	Intestinibacter bartlettii DSM 16795	strain=DSM 16795		latest	Scaffold	Major	Full	2007/11/01	ASM15444v1	Washington University Genome Sequencing Center	GCA_000154445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/445/GCF_000154445.1_ASM15444v1		assembly from type material	na	Intestinibacter bartlettii	NZ_DS499569.1	Intestinibacter bartlettii DSM 16795 Scfld_02_17, whole genome shotgun sequence	GCF_000154445.1_ASM15444v1_genomic.fna.gz 	GCF_000154445.1	2731	3	GCF_000/GCF_000154445.1_ASM15444v1_genomic.h5	2737
Erysipelatoclostridium ramosum	DSM 1402	Patric (diseases)		445974.0	E. ramosum	GCA_000154485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/485/GCA_000154485.1_ASM15448v1	Pathogenic	GCF_000154485.1	PRJNA224116	SAMN00000007	ABFX00000000.2	na	445974	1547	Erysipelatoclostridium ramosum DSM 1402	strain=DSM 1402		latest	Scaffold	Major	Full	2007/11/14	ASM15448v1	Washington University Genome Sequencing Center	GCA_000154485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/485/GCF_000154485.1_ASM15448v1		assembly from type material	na	Erysipelatoclostridium ramosum	NZ_DS499660.1	Thomasclavelia ramosa DSM 1402 Scfld_02_11, whole genome shotgun sequence	GCF_000154485.1_ASM15448v1_genomic.fna.gz 	GCF_000154485.1	1587	2	GCF_000/GCF_000154485.1_ASM15448v1_genomic.h5	3060
